Doświadczenie które doprowadziło do odkrycia jądra atomowego było przeprowadzone przez,Rutherford’a,...,Compton’a,de Brogile’a
Które ze stwierdzeń nie jest zgodne z postulatami Bohra,Elektron poruszający się po orbicie stacjonarnej wypromieniowuje energię elektromagnetyczną,elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona,"Elektron może się poruszać po takiej orbicie, dla której moment pędu jest równy wielokrotności stałej Planck’a","Przechodząc z wyższego do niższego stanu energetycznego, atom wypromieniowuje kwant energii równy różnicy energii poziomów energetycznych, pomiędzy ktorymi nastąpiło przejście"
W rozpadzie β- liczba atomowa pierwiastka:,wzrasta o 1,maleje o 1,maleje o 2,nie ulega zmianie
Protony to,hadrony,mezony,bozony,leptony
Cechą izolatorów jest,całkowite osadzenie pasma walencyjnego,duża konduktywność,obceność elektronów w paśmie przewodnictwa,szerokość pasma zabronionego - 0.1eV
Wskaż zdanie prawdziwe,przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku przeciwnym do wektora zewnętrznego pola elektrycznego.,przewodnictwo typu n polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.,przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie podstawowym w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.,przewodnictwo typu p polega na przemieszczeniu elektronów w paśmie przewodzenia w kierunku zgodnym z wektorem zewnętrznego pola elektrycznego.
Emisja energetyczna promieniowania ciała doskonale czarnego jest,proporcjonalna do temperatury w 4 potędze,proporcjonalna do temperatury w 2 potędze,odwrotnie proporcjonalna do temperatury,odwrotnie proporcjonalna do długości fali
Która z poniższych cech fotonów jest prawdziwa?,gdy przechodzi przez ośrodek (inny niż próżnia) zmienia się długość fali z nim stowarzyszonej,posiada stałą prędkość,gdy przechodzi przez ośrodek (inny niż próżnia) zmienia się częstotliwość fali z nim stowarzyszonej.,posiada masę spoczynkową
Które ze stwierdzeń nie jest prawdziwe dla zjawiska fotoelektrycznego zewnętrznego,natężenie promieniowania (światła) nie wpływa na natężenie prądu (fotoprądu),"Energia kinetyczna emitowanych elektronów zależy od częstotliwości (długości) fali, nie zależy od natężenia (natężenia oświetlenia, promieniowania)","dla każdego metalu istnieje pewna częstotliwość graniczna, powyżej której zjawisko fotoelektryczne nie zachodzi",napięcie hamowania zależy liniowo od częstotliwości padającego światła
Zgodnie z teorią Einsteina efekt fotoelektryczny:,zderzenie fotonu i elektronu,zderzenie protonu i elektronu,zderzenie protonu i neutronu,żadna z odpowiedzi nie jest prawidłowa
Które ze stwierdzeń nie jest prawdziwe w przypadku polaryzacji złącza p-n w kierunku zaporowym,maleje opór wewnętrzny złącza,bariera potencjału wzrasta o wartość napięcia zewnętrznego,szerokość obszaru zubożonego wzrasta,ruch nośników większościowych przez złącze jest praktycznie niemożliwy
"Doświadczenie, które doprowadziło do odkrycia jądra atomowego to:",doświadczenie Rutherford’a,doświadczenie Thomsona,doświadczenie de Broglie’a,doświadczenie Younga
"Dwa równoległe przewodniki, w których prąd płynie w tym samym kierunku:",przyciągają się,odpychają się,nie oddziałują na siebie,żadne z powyższych
"Ciało doskonale czarne, wskaż nieprawdziwe:",zgodnie z prawem Wiena – emisja energetyczna zależy od temperatury w 4 potędze,długość fali emisyjnej jest odwrotnie proporcjonalna do temperatury,pochłania promieniowanie,krzywe emisyjne są zależne tylko od temperatury
Wzór na n-ty prążek w doświadczeniu Younga:,nλ = dsinα,λ(n/2) = dsinα,nλ = 2dsinα,dλ = nsin(α/2)
Wzór na pęd fotonu,p = h/lambda,p = c · λ/h,p = hc/lambda,p = c/lambda
Które ze stwierdzeń nie jest prawdziwe dla efektu fotoelektrycznego,napięcie hamowania zależy liniowo od częstotliwości padającego światła,energia kinetyczna emitowanych elektronów jest zależna od długości fali,energia kinetyczna emitowanych elektronów jest zależna od natężenia światła,efekt fotoelektryczny zachodzi jedynie do określonej częstotliwości granicznej świtała
Zgodnie z postulatami Bohra,Elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona,Elektron poruszający się po orbicie stacjonarnej emituje energię elektromagnetyczną,Elektron nie emituje energii podczas zmiany stanów,"Elektron może się poruszać po takiej orbicie, dla której moment siły jest równy wielokrotności stałej Planck’a"
Które ze stwierdzeń dotyczących par Coopera jest prawdziwe:,"Ich sumaryczny moment pędu jest równy 0. Pędy poszczególnych elektronów mogą się zmieniać, ale pęd ukadu zostaje taki sam.",Oddziaływania kolumbowskie odpowiadają za odpychanie się elektronów,Posiadają jednakowe spiny,coś o fermionach
Które ze stwierdzeń dotyczących lasera He-Ne jest nieprawdziwe,Pompowane są atomy Ne,Laser He-Ne jest laserem elektronowym,Stosunek atomów Ne-He wynosi 1:10,Przejścia laserowe w Ne
Które ze stwierdzeń dotyczących siły elektro-dynamicznej jest prawdziwe:,Żadne z powyższych,"Siła, z jaką oddziałują ze sobą dwa ładunki","Siła, z jaką oddziałują na siebie dwa przewodniki","Jest to praca, jaka przypada na jednostkowy ładunek (niedokładnie)"
Które ze stwierdzeń nie jest zgodne z postualtami Bohra,elektron poruszający się po orbicie stacjonarnej wypromieniowuje energię elektromagnetyczną,Elektron w atomie wodoru porusza się po kołowej orbicie dookoła jądra pod wpływem siły coulombowskiej i zgodnie z prawami dynamiki Newtona,"Elektron może poruszać się po takiej orbicie, dla któej moment pędu jest równy wielokrotności stałej Plancka","przechodząc z wyższego do niższego stanu energetycznego, atom wypromienowuje kwant energii równy różnicy energii poziomów energetycznych, pomiędzy którymi nastąpiło przejście"
"Doświadczenie, które doprowadziło do odkrycia jądra atomowego było przeprowadzone przez",Rutherford’a,Farradaya,Compton’a,de Broglie’a
Które z poniższych zdań dot. interferencji fal świetlnych nie jest prawdziwe?,"warunkiem powstania dobrze określonego obrazu interferencyjnego jest aby interferujące fale świetlne padały(?) z dokładnie określoną, zmienną  w czasie różnicę faz",Różnica dróg optycznych przebytych przez fale składowe decyduje o natężeniu światła w punkcie nałożenia się fal,W każdej chwili wychylenie punktu przestrzeni jest sumą wychyleń docierających do niego zaburzeń falowych,Różnica faz fal składowych decyduje o natężeniu światła w punkcie nałożenia się fal
Siła elektrodynamiczna:,"siła, z jaką działa pole magnetyczne na przewód elektryczny, w którym płynie prąd elektryczny.",,,
Prawo Ohma w ujęciu mikroskopowym zależy od:,"Natężenia pola elektrycznego, gęstości prądu oraz konduktywności","Natężenia pola elektrycznego, gęstości prądu oraz konduktancji","Natężenia prądu, napięcia oraz rezystywności materiału","Natężenia prądu, napięcia"
Tesla wyrażona w podstawowych jednostkach SI to:,kg/(A*s^2),(kg*A)/(m*s^2),(kg*A)/(m*s),(kg*s)/(m*A)
Które zdanie dotyczące kondensatora płaskiego jest prawdziwe:,Włożenie między okładki dielektryka powoduje zwiększenie pojemności.,Wraz ze wzrostem powierzchni okładek zwiększy się pojemność ,Zwiększenie odległości okładek od siebie zwiększy pojemność,Włożenie między okładki dielektryka powoduje zmniejszenie pojemności
Które z podanych zdań jest postulatem Bohra:,Elektrony wodoru poruszają się zgodnie z siłami Culombowskimi oraz zasadami Newtona,Podczas krążenia po orbicie elektron emituje promieniowanie x,Podczas przejścia pomiędzy orbitami nie emituje sie energia,"Elektron może krążyć tylko po orbitach, dla których moment siły jest wielokrotnością stałej plancka "
Zaznaczyć zdanie nieprawdziwe dotyczące diamagnetyków - w drugiej grupie dla ferromagnetyków,układają się wzdłuż lini pola,,,
Efekt fotoelektryczny zewnętrzny potwierdził naturę światła:,korpuskularną,falową,cząsteczkowo-falową   ,żadna z powyższych
Wraz ze wzrostem temperatury w przewodniku:,rezystancja rośnie,konduktancja rośnie,,
Laser He-Ne,stosunek atomów Ne do He jest 10:1 ,pompowanie odbywa się na atomach He,,
Który wzór na energie potencjalną pola elektrycznego jest prawdziwy,k*q*Q/r,-k*q*Q/r,-k*Q/r,k*Q*q/(r^2)
Które doświadczenie udowodniło falowość światła:,Younga,,,
Zjawisko Halla - wskaż prawdziwe,Uh jest pomiędzy krawędziami przewodnika? ,Uh rośnie wraz z promieniowaniem padającym na przewodnik?,Uh maleje wraz z promieniowaniem padającym na przewodnik?,
Długość fali - coś o ciele doskonale czarnym - zgodnie z prawem Wiena jak zależy od temperatury ,1/T,T4,T2,odwrotność długości fali
Które z doświadczeń udowodniło istnienie fal materii,Davissona-Germera,Comptona,Rayleigha-Jeansa,de Brogile’a
Które ze stwierdzeń dotyczących lasera rubinowego jest prawdziwe,Pompowane są atomy Cr   ,Coś o metastabilności w Cr,Występuje pompowanie elektronowe,Emisja laserowa występuje pomiędzy poziomem podstawowym a .
Zjawisko emisji wymuszonej nie zachodzi dla:,w stanie temrodynamicznie ustalonym,antyboltzmannowskiego rozkładu obsadzeń poziomów energetycznych,,
Które ze stwiedzeń jest prawdziwe w stosunku do prawa załamania. Odpowiedzi były dosyć pokręcone i chyba poprawną było o stosunku sinusów kątów do długości fali,Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek długości pierwszej fali do drugiej ,Stosunek sinusa kąta załamania do sinusa kąta padania ma się jak stosunek współczynnika załamania drugiego do pierwszego,Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek współczynnika załamania pierwszego do drugiego,Stosunek sinusa kąta padania do sinusa kąta załamania ma się jak stosunek prędkości drugiej do prędkości pierwszej
Które zdanie dla ferromagnetyków jest poprawne.,W zewnętrznym polu układa się zgodnie z liniami pola,W obrębie jednej domeny wypadkowy jest równy 0,Bez zewnętrznego pola ukłądają się liniowo coś tam,
Pytanie związane z szerokością przerwy i zjawiskiem tunelowania (chyba w nadprzewodniku).,Odpowiedzi typu: wraz ze wzrostem/zmniejszaniem się szerokości bariery ilość przechodzących cząstek nadmiarowych rośnie/maleje liniowo/eskpotencjalnie,,,
Który  z postulatów Plancka odnośnie emisji ciała doskonale czarnego jest fałszywy,Energia oscylatora harmonicznego jest całkowitą wielokrotnością h (stałej Plancka) ,żadna odpowiedź nie jest poprawna,Oscylator znajdujący się w stanie stacjonarnym nie emituje ani nie absorbuje energii - ta jest poprawna: ,Atomy ciałą doskonale czarnego zachowują się jak oscylatory harmoniczne o określonej częstości drgań 
Indukcyjnośc określa zależność pomiedzy następującymi wielkościami fizycznymi,natężenie + strumień magnetyczny,,,
Półprzewodnik wskaż NIEPOPRAWNĄ odpowiedź,w półprzewodniku typu p elektrony wskakują na poziom ,półprzewodnik typu p ma domieszkę akceptorową,półprzewodnik typu n ma domieszkę donorową,
Diamagnetyki - wskaż prawdziwe,W polu magnetycznym tworza pole przeciwne do zewnętrzenego  ,namagnesowują się,ustawiają się przeciwnie do pola magnetycznego,
Co jest nieprawdziwe na temat ciała doskonale czarnego ,że jest to oscylator Aharmoniczny ,Że jak w stanie stacjonarnym to nie oddaje ani nie pobiera energii ,wszystkie odpowiedzi są poprawne,
Laser rubinowy - wskaź nieprawdziwe,wszysktie odpowiedzi są poprawne    ,Pompowane za pomoca optyki,substancja czynna to korund z domieszkami Cr,przy przejściu pomiędzy poziomami 2 i 3 wydziela się ciepło
Jak wyznaczyć pojemność zastępczą dla kondensatorów połączonych równolegle,C = suma Ci,1/C = suma 1/Ci,C = suma 1/Ci,żadna z powyższych
Wzór całka E x dS = Q/epsilonzero jest matematycznym opisem prawa,Żadna z powyższych (bo krzyż),Gaussa ,Ampere’a,
"Liczba masowa/atomowa, wskaż nieprawdziwe:",Liczba atomowa to liczba neutronów,Liczba masowa to liczba Neutronów i protonów,Liczba masowa to liczba nulkeonów,Liczba atomowa to liczba protonów
FLUKSON,h/2e,h/e^2,e/2h,
Nieprawdziwe zdanie o efekcie comptona,"Po uderzeniu elektrona w foton zmieni się długość fali - chyba miało być odwrotnie, bo foton uderza w elektron - ale w sumie to się zderzają",Rozpraszanie fali elektromagnetycznej na swobodnych elektronach,Zderzenie nieruchomego elektronu i fotonu.,Potwierdza korpuskularną nautrę światła
Wyprowadzenie jednostki oporu [Om],(1kg * 1m^2) / (1s^3 * A^2),,,
Pytanie o liczbę kwantową - która wyznacza rzutu orbitalnego momentu pędu na wybraną oś,magnetyczna,spinowa,poboczna,Główna
Kto jako pierwszy zaobserwował powstawanie pola magnetycznego pod wpływem płynącego prądu?,Oersted,Lenz,Faraday,Lorenz
